,MAE,Accuracy,Tree Depth,Number of Trees,Predictor,Features
2384,72.53810068256959,59.52435565312295,11,64,NO2,"['Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric']"
2385,72.55059834027878,59.71979785327583,5,64,NO2,"['Crops', 'Paddy', 'Maize', 'Soybean', 'Cotton']"
2386,72.58964935325689,59.704317579618085,5,128,NO2,"['Crops', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric']"
2387,72.59031995717487,59.70467458217669,5,128,NO2,"['Crops', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies']"
2388,72.5995471709247,59.69531884883244,5,96,NO2,"['Crops', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies']"
2389,72.61972922094286,59.683772301202595,5,96,NO2,"['Crops', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric']"
2390,72.62317366370495,59.63985473646873,10,64,NO2,"['Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric']"
2391,72.64218055033211,59.676470457657864,5,128,NO2,"['Crops', 'Paddy', 'Maize', 'Soybean', 'Cotton']"
2392,72.65817912246564,59.66394515569704,5,96,NO2,"['Crops', 'Paddy', 'Maize', 'Soybean', 'Cotton']"
2393,72.72058862058051,59.59689839121579,11,64,NO2,"['Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric']"
2394,72.72146261932066,59.60468434600059,6,64,NO2,"['Crops', 'Paddy', 'Maize', 'Soybean', 'Cotton']"
2395,72.77445225745214,59.57489183688615,6,64,NO2,"['Crops', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies']"
2396,72.79207795911024,59.58851232730423,6,128,NO2,"['Crops', 'Paddy', 'Maize', 'Soybean', 'Cotton']"
2397,72.79519999538938,59.566849124601674,6,64,NO2,"['Crops', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric']"
2398,72.81177552794527,59.5781315728086,6,128,NO2,"['Crops', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies']"
2399,72.81695650068764,59.57788454682049,6,128,NO2,"['Crops', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric']"
2400,72.823888610229,59.55554978005792,6,96,NO2,"['Crops', 'Paddy', 'Maize', 'Soybean', 'Cotton']"
2401,72.8527814668409,59.54148125660721,6,96,NO2,"['Crops', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies']"
2402,72.86188249083307,59.53871006270262,6,96,NO2,"['Crops', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric']"
2403,72.87105529029247,59.53741156520898,7,64,NO2,"['Crops', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies']"
2404,72.87243056258097,59.53114493036069,7,64,NO2,"['Crops', 'Paddy', 'Maize', 'Soybean', 'Cotton']"
2405,72.92436415661261,59.54001102346445,7,128,NO2,"['Crops', 'Paddy', 'Maize', 'Soybean', 'Cotton']"
2406,72.92750995459379,59.53217025485324,7,96,NO2,"['Crops', 'Paddy', 'Maize', 'Soybean', 'Cotton']"
2407,72.93059054060643,59.517939206220845,7,64,NO2,"['Crops', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric']"
